"Code","Year","Period","Date","Captures","ll","Location","Longitude","Latitude"
"S04620",2021,"Afternoon","2021-07-11",6,-154.033880023779,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Evening","2021-07-11",102,-154.033880023779,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Morning","2021-07-11",0,-154.033880023779,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Night","2021-07-11",0,-154.033880023779,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Afternoon","2021-08-08",136,-126.676710881832,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Evening","2021-08-08",42,-126.676710881832,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Morning","2021-08-08",1,-126.676710881832,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Night","2021-08-08",0,-126.676710881832,"Port Saunders",-57.3026,50.6501
"S04272",2018,"Afternoon","2018-07-15",1,-123.970199237041,"St Modeste",-69.391333,47.836833
"S04272",2018,"Evening","2018-07-15",3,-123.970199237041,"St Modeste",-69.391333,47.836833
"S04272",2018,"Morning","2018-07-15",93,-123.970199237041,"St Modeste",-69.391333,47.836833
"S04272",2018,"Night","2018-07-15",0,-123.970199237041,"St Modeste",-69.391333,47.836833
"S04268",2018,"Afternoon","2018-07-15",3,-81.445038184887,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Evening","2018-07-15",6,-81.445038184887,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Morning","2018-07-15",100,-81.445038184887,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Night","2018-07-15",0,-81.445038184887,"Saint Quentin",-67.3305,47.514167
"S04608",2020,"Afternoon","2020-07-22",4,-68.2839238457818,"Inverness",-61.294,46.196
"S04608",2020,"Evening","2020-07-22",78,-68.2839238457818,"Inverness",-61.294,46.196
"S04608",2020,"Morning","2020-07-22",11,-68.2839238457818,"Inverness",-61.294,46.196
"S04608",2020,"Night","2020-07-22",7,-68.2839238457818,"Inverness",-61.294,46.196
"S04268",2018,"Afternoon","2018-07-11",104,-67.1666294841462,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Evening","2018-07-11",8,-67.1666294841462,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Morning","2018-07-11",0,-67.1666294841462,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Night","2018-07-11",9,-67.1666294841462,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Afternoon","2018-07-10",0,-58.6830461462002,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Evening","2018-07-10",9,-58.6830461462002,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Morning","2018-07-10",7,-58.6830461462002,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Night","2018-07-10",90,-58.6830461462002,"Saint Quentin",-67.3305,47.514167
"S04272",2019,"Afternoon","2019-07-15",2,-57.6649971655769,"St Modeste",-69.391333,47.836833
"S04272",2019,"Evening","2019-07-15",180,-57.6649971655769,"St Modeste",-69.391333,47.836833
"S04272",2019,"Morning","2019-07-15",6,-57.6649971655769,"St Modeste",-69.391333,47.836833
"S04272",2019,"Night","2019-07-15",0,-57.6649971655769,"St Modeste",-69.391333,47.836833
"S04622",2020,"Afternoon","2020-07-22",0,-55.2151597180141,"Arisaig",-62.16,45.75
"S04622",2020,"Evening","2020-07-22",26,-55.2151597180141,"Arisaig",-62.16,45.75
"S04622",2020,"Morning","2020-07-22",0,-55.2151597180141,"Arisaig",-62.16,45.75
"S04622",2020,"Night","2020-07-22",0,-55.2151597180141,"Arisaig",-62.16,45.75
"S04283",2019,"Afternoon","2019-08-22",0,-54.0437011299347,"Sept-Iles",-66.255667,50.219833
"S04283",2019,"Evening","2019-08-22",6,-54.0437011299347,"Sept-Iles",-66.255667,50.219833
"S04283",2019,"Morning","2019-08-22",0,-54.0437011299347,"Sept-Iles",-66.255667,50.219833
"S04283",2019,"Night","2019-08-22",0,-54.0437011299347,"Sept-Iles",-66.255667,50.219833
"S04272",2018,"Afternoon","2018-07-18",2,-53.0972157425718,"St Modeste",-69.391333,47.836833
"S04272",2018,"Evening","2018-07-18",113,-53.0972157425718,"St Modeste",-69.391333,47.836833
"S04272",2018,"Morning","2018-07-18",0,-53.0972157425718,"St Modeste",-69.391333,47.836833
"S04272",2018,"Night","2018-07-18",6,-53.0972157425718,"St Modeste",-69.391333,47.836833
"S06221",2021,"Afternoon","2021-07-17",4,-48.49273783227,"Inverness",-61.294,46.196
"S06221",2021,"Evening","2021-07-17",109,-48.49273783227,"Inverness",-61.294,46.196
"S06221",2021,"Morning","2021-07-17",20,-48.49273783227,"Inverness",-61.294,46.196
"S06221",2021,"Night","2021-07-17",19,-48.49273783227,"Inverness",-61.294,46.196
"S04610",2021,"Afternoon","2021-07-30",107,-47.7366407373537,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Evening","2021-07-30",34,-47.7366407373537,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Morning","2021-07-30",NA,-47.7366407373537,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Night","2021-07-30",NA,-47.7366407373537,"Zinc Mine Rd",-57.556,50.272
"S04283",2019,"Afternoon","2019-07-29",1,-46.5576019146922,"Sept-Iles",-66.255667,50.219833
"S04283",2019,"Evening","2019-07-29",21,-46.5576019146922,"Sept-Iles",-66.255667,50.219833
