Name,Code,Longitude,Latitude,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,Location,Total,N>0
Arisaig,S06207,-62.1686670,45.7550000,,,,,,,,0.1,0,0,1,1,0,6,2,,,,,,,,,6.1,0,2,2,16,31,6,1,4,114,57,32,10,5,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,306,21
Arseneault,S04267,-65.3035000,48.3743330,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,16,12.1,6,9,2,4,3,36,44,29,11,15,5,47,3,3,20,0,0,0,0,0,4,0.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,280,25
Baie Comeau,S04273,-68.1975000,49.1380000,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5
Baldwin,S04284,-66.1055000,48.5620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.1,0,1,17,13,2,0,0,0,100,26,61,105.1,5,33,7,46,80,28,18,32,28,31,94,5,5,0,0,18,0,0,2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,,760,25
Boston Brook,S04276,-67.9225000,47.1650000,0,0.1,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.1,0.1,4,5,13,14,12,0,1,2,3,15,4,0,9,2,2,1,1,0,0,2,0,2.1,3,0,1,0,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,107,25
Cheesemans Park,S04540,-59.2836670,47.7346670,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,9,6,14,16,15,135,35,40,68,36,64,56,32,111,14,23,16,2,1,4,0,1,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,721,28
Clearwater,S04285,-67.0521670,46.5143330,,,,0,0,0,0,0,0,1,2,11,40,19,23,21,3,2,3,1,9,16,2,12,7,1,4,0,3,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,,0.2,0.2,0.1,0.1,0.1,,0.1,0,,,,,,,0.1,0,,189,24
Doaktown,S04275,-66.1156670,46.5643330,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,4,4
Duchenier,S04288,-68.5915000,48.1166670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,7,14,1,1,1,0.1,2,0,9,2,5,4,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,,60,17
Duniere,S04279,-66.7770000,48.7063330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,29,36,3,16,8,9,3,5,3,11,2,10,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,159,19
